2025/09/03 09:44:56.378210 REQUEST: method=POST, url=/auth/login, remote=172.21.0.5:54388, content-type=application/json
2025/09/03 09:44:56.378318 loginHandler: method=POST, url=/auth/login
2025/09/03 09:44:56.378342 loginHandler POST body: email=, password=
2025/09/04 09:36:20.794821 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:36:29.901597 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:36:31.484911 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:36:31.486077 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:36:36.045426 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:37:03.561257 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:37:03.563679 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:37:14.396756 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:37:14.398787 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:37:16.554330 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:37:16.555841 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:37:46.395431 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:37:46.397986 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:00.794395 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:00.797310 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:03.244635 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:03.246543 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:32.500576 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:32.501794 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:38.377981 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:40.033501 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:40.035558 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:56.298443 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:38:56.299482 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:39:05.292455 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:39:06.951797 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:39:06.954359 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:39:26.259251 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:39:26.260852 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:40:30.999672 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:40:31.001621 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:40:47.462214 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:40:47.463520 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:40:53.095570 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:51312, content-type= body=
2025/09/04 09:40:56.551905 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:40:56.553740 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:40:56.595011 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:51312, content-type= body=
2025/09/04 09:41:05.295587 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:41:05.297746 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:41:05.357881 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:51312, content-type= body=
2025/09/04 09:41:05.359721 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:51312, content-type= body=
2025/09/04 09:41:07.922970 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:41:07.924139 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:41:07.981240 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:51312, content-type= body=
2025/09/04 09:41:07.982101 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:51312, content-type= body=
2025/09/04 09:41:14.284767 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:41:14.286841 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:41:29.834589 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:41:29.836774 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 10:20:29.637049 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:42242, content-type= body=
2025/09/04 10:20:29.642134 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:42242, content-type= body=
2025/09/04 10:21:14.982002 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:42242, content-type= body=
2025/09/04 10:21:14.983722 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:42242, content-type= body=
2025/09/04 10:21:34.153676 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:42242, content-type= body=
2025/09/04 10:21:34.154864 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:42242, content-type= body=
2025/09/04 10:25:49.528378 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:25:49.529909 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:25:55.528895 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:25:55.530469 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:26:04.363211 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:26:04.365320 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:26:40.867461 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:34502, content-type= body=
2025/09/04 10:26:40.870319 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:34502, content-type= body=
2025/09/04 10:26:55.133165 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:26:55.135075 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:26:55.189697 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:34502, content-type= body=
2025/09/04 10:27:15.330439 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:27:15.331825 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:27:15.382278 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:34502, content-type= body=
2025/09/04 10:27:20.970444 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:27:20.972625 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50840, content-type= body=
2025/09/04 10:27:29.065545 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:34502, content-type= body=
2025/09/04 10:27:34.086027 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:34502, content-type= body=
